parkid,rectypeid,amenityid,created_us,created_da,last_edite,last_edi_1,amentype,courtsurf,courtsize,courtlight,courtfence,fieldsurf,fldplayage,fieldlight,fieldfence,football,cricket,lacrosse,soccer,fhockey,softball,baseball,sheltype,shelsurf,shellight,shelelec,shelwater,shelrstrm,shelgrill,shelcap,playsurf,playada,playage,recrmrent,recgym,recfitctr,recpool,reclockrm,recomplab,recindoor,reservable,managedby,tball,amenstatus
TUCP,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
TUCP,PARKSP,03,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
WCLT,RECGYM,01,,,PARKEDITOR,1/3/2022,FACILITY,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
WCPK,PARKSP,01,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
WCPK,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
WCPK,BSKTCT,01,,,PARKEDITOR,1/3/2022,COURT,Asphalt,Full,No,Yes,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
WCPK,SPRAYG,01,,,PARKEDITOR,1/3/2022,AQUATIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
WCPK,SHELTR,01,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,No,No,Yes,No,Yes,20,,,,,,,,,,,No,Mecklenburg,,Open
LHTP,PARKSP,01,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
LHTP,PLYGRD,01,,,PARKEDITOR,1/3/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Fibar,,,,,,,,,,,Mecklenburg,,Open
LHTP,BSKTCT,01,,,PARKEDITOR,1/3/2022,COURT,Asphalt,Half,No,No,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,No,Mecklenburg,,Open
LHTP,FITSTA,01,,,PARKEDITOR,1/3/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
LHTP,SHELTR,02,,,PARKEDITOR,1/3/2022,SHELTER,,,,,,,,,,,,,,,,,Concrete,Yes,Yes,Yes,No,Yes,20,,,,,,,,,,,No,Mecklenburg,,Open
