OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
133,AQUA,Mecklenburg County Aquatic Center,800 E MARTIN LUTHER KING JR BV,800,E,MARTIN LUTHER KING JR,BV, ,CHARLOTTE,NC,28202,Aquatic Center,Developed,Central,,,,9803143483,,,District 1,District 4,2002/03/18 00:00:00+00,,,1450347.38282324,539157.24219421,Mecklenburg
134,DAVS,Clarks Creek Nature Preserve,5434 HUCKS RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28269,Nature Preserve,Developed,North,,,,9803141001,,,District 4,District 1,2003/07/11 00:00:00+00,,,1460036.14629455,587879.01088058,Mecklenburg
135,MOCG,Merry Oaks Community Garden,3000 HARBINGER CT,3000,,HARBINGER,CT,,CHARLOTTE,NC,28205,Community Garden,Developed,Central,,,,9803141002,,,District 1,District 4,2017/01/12 00:00:00+00,,,1464702.25321558,540960.09274095,Mecklenburg
136,IRWN,Rays Splash Planet,215 N SYCAMORE ST,215,N,SYCAMORE,ST, ,CHARLOTTE,NC,28202,Aquatic Center,Developed,Central,,,,9803144729,,,District 2,District 4,1998/10/06 00:00:00+00,,,1447182.96527189,546670.29759924,Mecklenburg
137,BERR,Berryhill Nature Preserve,10334 WALKERS FERRY RD,0, ,NO ADDRESS,TR, ,CHARLOTTE,NC,28214,Nature Preserve,Developed,South,,,,9803141003,,,,District 2,2002/03/18 00:00:00+00,,,1406298.00146833,539308.13990733,Mecklenburg
138,HAPK,Huntersville Athletic Park,11836 VERHOEFF DR,0, , , , ,HUNTERSVILLE,NC,28078,Town Park,Developed,North,,,,7047662220,,,,District 1,1975/01/01 00:00:00+00,,,1450108.38454111,602332.90904951,Huntersville
139,LTNC,Quest at Latta Nature Preserve,6345 SAMPLE RD,6345, ,SAMPLE,RD, ,CHARLOTTE,NC,28078,Nature Center,Developed,North,,,,9803141129,,,,District 1,2016/07/06 00:00:00+00,,,1431481.00397289,590670.2947098,Mecklenburg
140,PRNP,Providence Nature Preserve,2710 PEVERELL LN,0, , , ,NO,CHARLOTTE,NC,28270,Nature Preserve,Undeveloped,South,,,,9803141003,,,District 7,District 6,2000/06/27 00:00:00+00,,,1474635.56724131,493859.50720759,Mecklenburg
141,NSLP,North & South Lawn Park,185 HARPER LEE ST,185,,HARPER LEE,ST,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1455264.52789447,640482.70726255,Davidson
142,MCIN,McIntyre Historic Site,5801 BEATTIES FORD RD,5801, ,BEATTIES FORD,RD, ,CHARLOTTE,NC,28216,Historic,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1444039.59560676,573817.59566777,Mecklenburg
143,IDLE,Idlewild Road Park,10512 IDLEWILD RD,10512, ,IDLEWILD,RD, ,MINT HILL,NC,28105,Regional,Developed,South,,,,9803141003,,,,District 6,1998/07/28 00:00:00+00,,,1491924.95713772,519129.3077112,Mecklenburg
144,TPDP,The Preserve Dog Park,336 O HENRY AV,336,,O HENRY,AV,,DAVIDSON,NC,28036,Dog Park,Developed,North,,,,7048923349,,,,District 1,,,,1455310.08446747,640786.42891513,Davidson
145,MEMS,American Legion Memorial Stadium,310 N KINGS DR,310,N,KINGS,DR, ,CHARLOTTE,NC,28204,Event Venue,Developed,Central,,,,7043362884,,,District 1,District 4,1998/07/28 00:00:00+00,,,1453905.87445004,539746.44178768,Mecklenburg
146,CMCP,Campbell Creek Park,6601 BARCLIFF DR,6601, ,BARCLIFFE,DR, ,CHARLOTTE,NC,28212,Community,Developed,South,,,,9803141003,,,District 5,District 4,1998/07/28 00:00:00+00,,,1481781.30898839,537915.14910336,Mecklenburg
147,FLTB,Flat Branch Park,11830 TOM SHORT RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28277,Community,Developed,South,,,,9803141003,,,District 7,District 6,1998/10/06 00:00:00+00,,,1463068.51380785,476440.55346794,Mecklenburg
148,JATC,Jeff Adams Tennis Center,1520 W TYVOLA RD,1200,W,TYVOLA,RD, ,CHARLOTTE,NC,28217,Tennis Center,Developed,South,,,,7045293273,,,District 3,District 2,1998/07/28 00:00:00+00,,,1430324.92393054,522928.3603362,Mecklenburg
149,LATT,Latta Place Historic Site,5225 SAMPLE RD B,5225, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,Historic,Closed,North,,,,9803141001,,,,District 1,1998/07/28 00:00:00+00,,,1424655.46977805,589006.14209983,Mecklenburg
150,GAND,Gander Cove Park,MONROE RD,10502,,MONROE,RD,,MATTHEWS,NC,28105,Neighborhood,Undeveloped,South,,,,9803141003,,,,District 6,,,,1481622.05357817,506724.35354215,Mecklenburg
151,ADAJ,Ada Jenkins Athletic Field,212 GAMBLE ST,212,,GAMBLE,ST,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7049409641,,,,District 1,,,,1448256.88251236,641544.64316288,Davidson
152,HIDD,Hidden Valley Park,260 NORTHCHASE DR,0, , , ,NO,CHARLOTTE,NC,28213,Neighborhood,Undeveloped,North,,,,9803141002,,,District 1,District 3,2000/05/23 00:00:00+00,,,1469748.13005723,555552.31938568,Mecklenburg
153,RWPP,Roosevelt Wilson Park,420 GRIFFITH ST,420,,GRIFFITH,ST,,DAVIDSON,NC,28036,Town Park,Developed,North,,,,7048923349,,,,District 1,,,,1448301.33969948,643068.54524319,Davidson
154,OEHP,Oehler Nature Preserve,14511 HUNTERSVILLE-CONCORD RD,0, , , ,NO,CHARLOTTE,NC,28078,Nature Preserve,Undeveloped,North,,,,9803141001,,,,District 1,2003/07/11 00:00:00+00,,,1463392.24212813,610821.65741998,Mecklenburg
155,GREN,Greene Street Park,5612 GREENE ST,5612, ,GREENE,ST, ,CHARLOTTE,NC,28269,Neighborhood,Undeveloped,North,,,,9803141001,,,District 2,District 3,2017/04/17 00:00:00+00,,,1460390.85516687,572092.56753881,Mecklenburg
156,MART,McDowell Arts Center,123 E MCDOWELL ST,123,E,MCDOWELL,ST,,MATTHEWS,NC,28105,Arts Center,Developed,South,,,,7048479746,,,,District 6,,,,1484770.68585603,500742.67523103,Matthews
157,MOEP,Merry Oaks Park,1806 MERRY OAKS RD,0, , , , ,CHARLOTTE,NC,28205,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/10/12 00:00:00+00,,,1466732.02159101,539660.22501142,Mecklenburg
158,SUCR,Old Potters Road Park,4410 W SUGAR CREEK RD,4410,W,SUGAR CREEK,RD,,CHARLOTTE,NC,28269,Neighborhood,Undeveloped,North,,,,9803141001,,,District 2,District 3,,,,1459730.09487981,574335.72657983,Mecklenburg
159,JWRC,JV Washam Recreation Center,9611 WESTMORELAND RD,9611,,WESTMORELAND,RD,,CORNELIUS,NC,28031,Recreation Center,Developed,North,,,,7048926031,,,,District 1,2006/08/01 00:00:00+00,,,1443751.42487569,629648.23289411,Cornelius
160,MAYP,Mayerling Drive Park,8320 MAYERLING DR,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28227,Neighborhood,Developed,South,,,,9803141003,,,,District 6,2003/07/11 00:00:00+00,,,1491199.03239501,527559.94655918,Mecklenburg
161,WEAC,Westmoreland Athletic Complex,8430 WESTMORELAND RD,8430,,WESTMORELAND,RD,,CORNELIUS,NC,28031,Town Park,Developed,North,,,,7048926031,,,,District 1,2012/07/09 00:00:00+00,,,1438561.36419609,628117.87633419,Cornelius
