to Latitude,to Longitude,Zone,Easting,Northing,Zone Northing Easting Interpreted
35.1870219,-80.7665151,3200,1472227.869,527689.4073,3200 527689.4073UsFtN 1472227.869UsFtE
35.3909758,-80.8451783,3200,1450108.385,602332.9091,3200 602332.9091UsFtN 1450108.385UsFtE
35.2329358,-80.8550342,3200,1446096.741,544878.9741,3200 544878.9741UsFtN 1446096.741UsFtE
35.2162501,-80.8342822,3200,1452180.288,538692.2129,3200 538692.2129UsFtN 1452180.288UsFtE
35.2340795,-80.8412354,3200,1450224.243,545218.4455,3200 545218.4455UsFtN 1450224.243UsFtE
35.1322774,-80.7136236,3200,1487684.492,507491.6013,3200 507491.6013UsFtN 1487684.492UsFtE
35.2062819,-80.8371827,3200,1451247,535080.9999,3200 535080.9999UsFtN 1451247UsFtE
35.2323124,-80.8234188,3200,1455531.692,544477.2366,3200 544477.2366UsFtN 1455531.692UsFtE
35.1111748,-80.717748,3200,1486318.649,499834.0088,3200 499834.0088UsFtN 1486318.649UsFtE
35.1203971,-80.6933142,3200,1493681.956,503064.3453,3200 503064.3453UsFtN 1493681.956UsFtE
35.206465,-80.8240222,3200,1455178.719,535075.1338,3200 535075.1338UsFtN 1455178.719UsFtE
35.3558366,-80.7563827,3200,1476341.765,589065.7948,3200 589065.7948UsFtN 1476341.765UsFtE
35.160143,-80.8575045,3200,1444863.519,518404.9716,3200 518404.9716UsFtN 1444863.519UsFtE
35.4110615,-80.8412322,3200,1451419.845,609620.1241,3200 609620.1241UsFtN 1451419.845UsFtE
35.2174344,-80.8404468,3200,1450347.383,539157.2422,3200 539157.2422UsFtN 1450347.383UsFtE
35.2547608,-80.7662744,3200,1472738.399,552337.4335,3200 552337.4335UsFtN 1472738.399UsFtE
35.0903594,-80.8049785,3200,1460098.028,492722.5787,3200 492722.5787UsFtN 1460098.028UsFtE
35.1982692,-80.8580728,3200,1444953.404,532281.446,3200 532281.446UsFtN 1444953.404UsFtE
35.2353329,-80.783904,3200,1467349.193,545361.9667,3200 545361.9667UsFtN 1467349.193UsFtE
35.2589164,-80.8058732,3200,1460946.331,554062.2899,3200 554062.2899UsFtN 1460946.331UsFtE
35.1911011,-80.6810109,3200,1497796.148,528730.2228,3200 528730.2228UsFtN 1497796.148UsFtE
35.2124495,-80.8523096,3200,1446771.103,537409.2358,3200 537409.2358UsFtN 1446771.103UsFtE
35.139879,-80.706063,3200,1489992.169,510218.8085,3200 510218.8085UsFtN 1489992.169UsFtE
35.2158001,-80.8335202,3200,1452404.812,538524.2466,3200 538524.2466UsFtN 1452404.812UsFtE
35.2196769,-80.8041712,3200,1461194.792,539774.3774,3200 539774.3774UsFtN 1461194.792UsFtE
35.2200499,-80.8390179,3200,1450791.701,540101.0559,3200 540101.0559UsFtN 1450791.701UsFtE
35.2107546,-80.8359998,3200,1451630.387,536701.9948,3200 536701.9948UsFtN 1451630.387UsFtE
35.1115168,-80.7264899,3200,1483706.865,500003.8014,3200 500003.8014UsFtN 1483706.865UsFtE
35.1092126,-80.7210947,3200,1485305.583,499137.3433,3200 499137.3433UsFtN 1485305.583UsFtE
35.111663,-80.8756893,3200,1439096.096,500866.4952,3200 500866.4952UsFtN 1439096.096UsFtE
35.2634462,-80.7764821,3200,1469748.13,555552.3194,3200 555552.3194UsFtN 1469748.13UsFtE
35.2601831,-80.7504571,3200,1477494.418,554226.9274,3200 554226.9274UsFtN 1477494.418UsFtE
35.2550769,-80.8463479,3200,1448839.995,552887.3995,3200 552887.3995UsFtN 1448839.995UsFtE
35.1281109,-80.8624953,3200,1443153.452,506777.1969,3200 506777.1969UsFtN 1443153.452UsFtE
35.1170854,-80.7180116,3200,1486277.079,501986.1541,3200 501986.1541UsFtN 1486277.079UsFtE
35.2631641,-80.7791753,3200,1468942.507,555464.0724,3200 555464.0724UsFtN 1468942.507UsFtE
35.2277125,-80.8357623,3200,1451815.426,542871.3429,3200 542871.3429UsFtN 1451815.426UsFtE
35.2498063,-80.8356653,3200,1451993.07,550910.3955,3200 550910.3955UsFtN 1451993.07UsFtE
35.2442858,-80.7278771,3200,1484133.106,548323.9679,3200 548323.9679UsFtN 1484133.106UsFtE
35.4119046,-80.8465942,3200,1449828.165,609956.6032,3200 609956.6032UsFtN 1449828.165UsFtE
35.2181312,-80.8405966,3200,1450307.352,539411.6044,3200 539411.6044UsFtN 1450307.352UsFtE
