OBJECTID,PARK_TYPE,STATUS,PARK_ID,PROPERTY,SUM_ACRES,ShapeSTArea,ShapeSTLength
201,NEIGHBORHOOD PARK,DEVELOPED,PKTN,PARK ROAD TENNIS CENTER,17.9897759,783631.834531445,4425.99529649025
202,NEIGHBORHOOD PARK,DEVELOPED,PVLY,PINE VALLEY PARK,4.41519359,192324.979936914,4356.873248365
203,NEIGHBORHOOD PARK,UNDEVELOPED,RVRH,RIVERHAVEN PROPERTY,0.29063905,12660.192746875,458.449244318518
204,NEIGHBORHOOD PARK,DEVELOPED,REID,REID PARK,17.71694053,771746.878582227,7944.62172857255
205,NEIGHBORHOOD PARK,DEVELOPED,ROBB,ROBBINS PARK,7.95226925,346399.343205664,3200.85014573725
206,NEIGHBORHOOD PARK,DEVELOPED,ROCK,THEREASEA C. ELDERS PARK,15.75024128,686077.89865625,3995.18575201695
207,NEIGHBORHOOD PARK,DEVELOPED,SEDF,SEDGEFIELD PARK,5.05834035,220340.449640039,2139.74951168603
208,NEIGHBORHOOD PARK,DEVELOPED,SEVP,SEVERSVILLE PARK,11.08123782,482696.438323047,3671.82881312125
209,NEIGHBORHOOD PARK,DEVELOPED,SHAM,SHAMROCK PARK,2.21648056,96549.4470158203,1812.21053410016
210,NEIGHBORHOOD PARK,DEVELOPED,SHLD,SHEFFIELD PARK,8.05008103,350660.138412695,3347.84245104109
211,NEIGHBORHOOD PARK,DEVELOPED,SPRG,SPRINGFIELD PARK,11.52057966,501834.392693945,3411.9503463565
212,NEIGHBORHOOD PARK,DEVELOPED,THMP,THOMPSON PARK,3.32889263,145006.001442187,1512.84603302711
213,NEIGHBORHOOD PARK,DEVELOPED,THRD,JAMES DENNIS RASH PARK,0.559811,24385.2647501953,828.583425327171
214,NEIGHBORHOOD PARK,DEVELOPED,TUCP,TUCKASEEGEE PARK,19.74348673,860022.718342969,5935.6033149433
215,NEIGHBORHOOD PARK,DEVELOPED,UNTY,UNITY PARK,5.32990644,232170.030919141,2213.52424433477
216,NEIGHBORHOOD PARK,DEVELOPED,VETS,VETERANS PARK,17.34419418,755509.864683984,4178.55119691048
217,NEIGHBORHOOD PARK,DEVELOPED,VIEW,VIEWMONT PARK,11.0258968,480286.1271875,2766.41339536716
218,NEIGHBORHOOD PARK,DEVELOPED,WADD,WADDELL STREET PARK,4.88140999,212633.479270898,2137.53690813374
219,NEIGHBORHOOD PARK,DEVELOPED,WCPK,WEST CHARLOTTE PARK,3.21570916,140075.726352539,1506.80203321254
